collection||الجامع الصغير
hadith|2861|ألا أخبركم بشئ إذا نزل برجل منكم كرب أو بلاء من أمر الدنيا دعا به ففرج عنه؟ دعاء ذي النون " لا إله إلا أنت سبحانك إني كنت من الظالمين "
hadith|2862|ألا أخبركم بسورة ملأ عظمتها ما بين السماء والأرض، ولكاتبها من الأجر مثل ذلك، ومن قرأها يوم الجمعة غفر له ما بينه وبين الجمعة الأخرى وزيادة ثلاثة أيام، ومن قرأ الخمس الأواخر منها عند نومه بعثه الله أي الليل شاء؟ سورة أصحاب الكهف
hadith|2863|ألا أخبركم بمن تحرم عليه النار غدا؟ على كل هين لين قريب سهل
hadith|2864|ألا أخبركم بخير الشهداء؟ الذي يأتي بشهادته قبل أن يسألها
hadith|2865|ألا أخبركم بصلاة المنافق؟ أن يؤخر العصر حتى إذا كانت الشمس كثرب البقرة صلاها
hadith|2866|ألا أخبركم بأفضل من درجة الصيام والصلاة والصدقة؟ صلاح ذات البين، فإن فساد ذات البين هي الحالقة -
hadith|2867|ألا أخبركم برجالكم من أهل الجنة؟ النبي في الجنة، والشهيد في الجنة، والصديق في الجنة، والمولود في الجنة، والرجل يزور أخاه في ناحية المصر في الله في الجنة. ألا أخبركم بنسائكم من أهل الجنة؟ الودود الولود العوود التي إذا ظلمت قالت: هذه يدي في يدك لا أذوق غمضا حتى ترضى
hadith|2868|ألا أخبركم بأفضل الملائكة؟ جبريل، وأفضل النبيين آدم، وأفضل الأيام يوم الجمعة، وأفضل الشهور شهر رمضان، وأفضل الليالي ليلة القدر، وأفضل النساء مريم بنت عمران
hadith|2869|ألا أدلك على جهاد لا شوكة فيه؟ حج البيت
hadith|2870|ألا أدلك على كلمة من تحت العرش من كنز الجنة؟ تقول " لا حول ولا قوة إلا بالله " فيقول الله: أسلم عبدي واستسلم
hadith|2871|ألا أدلك على غراس هو خير من هذا؟ تقول: " سبحان الله، والحمد لله، ولا إله إلا الله، والله أكبر " يغرس لك بكل كلمة منها شجرة في الجنة
hadith|2872|ألا أدلك على باب من أبواب الجنة؟ " لا حول ولا قوة إلا بالله "
hadith|2873|ألا أدلكم على ما يمحو الله به الخطايا، ويرفع به الدرجات؟ إسباغ الوضوء على المكاره، وكثرة الخطا إلى المساجد، وانتظار الصلاة بعد الصلاة، فذلكم الرباط، فذلكم الرباط، فذلكم الرباط
hadith|2874|ألا أدلكم على أشدكم؟ أملككم لنفسه عند الغضب
hadith|2875|ألا أدلكم على الخلفاء مني ومن أصحابي ومن الأنبياء قبلي؟ هم حملة القرآن والأحاديث عني وعنهم، في الله وإليه
hadith|2876|ألا أرقيك برقية رقاني بها جبريل؟ تقول: " بسم الله أرقيك، والله يشفيك، من كل داء يأتيك، من شر النفاثات في العقد، ومن شر حاسد إذا حسد " ترقى بها ثلاث مرات
hadith|2877|ألا أعلمك كلمات تقولهن عند الكرب؟ " الله الله ربي لا أشرك به شيئا "
hadith|2878|ألا أعلمك كلمات لو كان عليك مثل جبل صبير دينا أداه الله عنك؟ قل " اللهم اكفني بحلالك عن حرامك، وأغنني بفضلك عمن سواك "
hadith|2879|ألا أعلمك كلاما إذا قلته أذهب الله تعالى همك، وقضى عنك دينك؟ قل إذا أصبحت وأمسيت: اللهم إني أعوذ بك من الهم والحزن، وأعوذ بك من العجز والكسل، وأعوذ بك من الجبن والبخل، وأعوذ بك من غلبة الدين وقهر الرجال
hadith|2880|ألا أعلمك كلمات إذا قلتهن غفر الله لك، وإن كنت مغفورا لك؟ قل: لا إله إلا الله العلي العظيم، لا إله إلا الله الحليم الكريم، لا إله إلا الله، سبحان الله رب السماوات السبع ورب العرش العظيم، الحمد لله رب العالمين " إذا أنت قلتهن وعليك مثل عدد الذر خطايا غفر الله لك "
hadith|2881|ألا أعلمك خصلات ينفعك الله تعالى بهن؟ عليك بالعلم، فإن العلم خليل المؤمن، والحلم وزيره، والعقل دليله، والعمل قيمه، والرفق أبوه، واللين أخوه، والصبر أمير جنوده
hadith|2882|ألا أعلمك كلمات من يرد الله به خيرا يعلمهن إياه ثم لا ينسيه أبدا؟ قل: اللهم إني ضعيف فقوني في رضاك ضعفي، وخذ إلى الخير بناصيتي، واجعل الإسلام منتهى رضاي، اللهم إني ضعيف فقوني، وإني ذليل فأعزني، وإني فقير فارزقني
hadith|2883|ألا أعلمك كلمات ينفعك الله بهن وينفع من علمته؟ صل ليلة الجمعة أربع ركعات تقرأ في الأولى بفاتحة الكتاب ويس، وفي الثانية بفاتحة الكتاب وبحم الدخان، وفي الثالثة بفاتحة الكتاب وبآلم السجدة، وفي الرابعة بفاتحة الكتاب وتبارك المفصل. فإذا فرغت من التشهد فاحمد الله تعالى وأثن عليه، وصل على النبيين، واستغفر للمؤمنين، ثم قل: " الهم ارحمني بترك المعاصي أبدا ما أبقيتني، وارحمني من أن أتكلف ما لا يعنيني وارزقني حسن النظر فيما يرضيك عني. اللهم بديع السماوات والأرض ذا الجلال والإكرام والعزة التي لا ترام، أسألك يا الله يا رحمن بجلالك ونور وجهك، أن تلزم قلبي حفظ كتابك كما علمتني، وارزقني أن أتلوه على النحو الذي يرضيك عني، وأسألك أن تنور بالكتاب بصري، وتطلق به لساني، وتفرج به كربي، وتشرح به صدري وتستعمل به بدني، وتقويني على ذلك وتعينني عليه، فإنه لا يعينني على الخير غيرك، ولا يوفق له إلا أنت ". فافعل ذلك ثلاث جمع أو خمسا أو سبعا، تحفظه بإذن الله. وما أخطأ مؤمنا قط
hadith|2884|ألا أنبئك بشر الناس؟ من أكل وحده، ومنع رفده، وسافر وحده، وضرب عبده. ألا أنبئك بشر من هذا؟ من يبغض الناس ويبغضونه. ألا أنبئك بشر من هذا؟ من يخشى شره، ولا يرجى خيره. ألا أنبئك بشر من هذا؟ من باع آخرته بدنيا غيره. ألا أنبئك بشر من هذا؟ من أكل الدنيا بالدين
hadith|2885|ألا أنبئكم بخياركم؟ خياركم الذين إذا رؤوا ذكر الله
hadith|2886|ألا أنبئكم بخير أعمالكم، وأزكاها عند مليككم، وأرفعها في درجاتكم، وخير لكم من إنفاق الذهب والورق، وخير لكم من أن تلقوا عدوكم فتضربوا أعناقهم ويضربوا أعناقكم؟ ذكر الله
hadith|2887|ألا يا رب نفس طاعمة ناعمة في الدنيا، جائعة عارية يوم القيامة. ألا يا رب نفس جائعة عارية في الدنيا، طاعمة ناعمة يوم القيامة. ألا يا رب مكرم لنفسه وهو لها مهين. ألا يا رب مهين لنفسه وهو لها مكرم. ألا يا رب متخوض ومتنعم فيما أفاء الله على رسوله، ما له عند الله من خلاق. ألا وإن عمل الجنة حزن بربوة. ألا وإن عمل النار سهل بسهوة. ألا يا رب شهوة ساعة أورثت حزنا طويلا
hadith|2888|إياك وكل أمر يعتذر منه
hadith|2889|إياك وما يسوء الأذن
hadith|2890|إياك وقرين السوء، فإنك به تعرف
hadith|2891|إياك والسمر بعد هدأة الرجل، فإنكم لا تدرون ما يأتي الله في خلقه
hadith|2892|إياك والتنعم، فإن عباد الله ليسوا بالمتنعمين
hadith|2893|إياك والحلوب
hadith|2894|إياك والخمر، فإن خطيئتها تفرع الخطايا، كما أن شجرتها تفرع الشجر
hadith|2895|إياك ونار المؤمن لا تحرقك، وإن عثر كل يوم سبع مرات، فإن يمينه بيد الله إذا شاء أن ينعشه أنعشه
hadith|2896|إياكم والطعام الحار، فإنه يذهب بالبركة، وعليكم بالبارد: فإنه أهنأ وأعظم بركة
hadith|2897|إياكم والحمرة فإنها أحب الزينة إلى الشيطان
hadith|2898|إياكم وأبواب السلطان، فإنه قد أصبح صعبا هبوطا -
hadith|2899|إياكم ومشارة الناس، فإنها تدفن الغرة، وتظهر العرة
hadith|2900|إياكم والجلوس على الطرقات، فإن أبيتم إلا المجالس فأعطوا الطريق حقها: غض البصر، وكف الأذى، ورد السلام، والأمر بالمعروف، والنهي عن المنكر
hadith|2901|إياكم والظن فإن الظن أكذب الحديث، ولا تجسسوا ولا تحسسوا، ولا تنافسوا ولا تحاسدوا، ولا تباغضوا ولا تدابروا، وكونوا عباد الله إخوانا، ولا يخطب الرجل على خطبة أخيه حتى ينكح أو يترك
hadith|2902|إياكم والتعريس على جواد الطريق، والصلاة عليها، فإنها مأوى الحيات والسباع، وقضاء الحاجة عليها، فإنها الملاعن
hadith|2903|إياكم والوصال، إنكم لستم في ذلك مثلي، إني أبيت يطعمني ربي ويسقيني، فاكلفوا من العمل ما تطيقون
hadith|2904|إياكم وكثرة الحلف في البيع، فإنه ينفق، ثم يمحق
hadith|2905|إياكم والدخول على النساء
hadith|2906|إياكم والشح، فإنما هلك من كان قبلكم بالشح، أمرهم بالبخل فبخلوا، وأمرهم بالقطيعة فقطعوا، وأمرهم بالفجور ففجروا
hadith|2907|إياكم والفتن، فإن وقع اللسان فيها مثل وقع السيف
hadith|2908|إياكم والحسد، فإن الحسد يأكل الحسنات كما تأكل النار الحطب
hadith|2909|إياكم والغلو في الدين، فإنما هلك من كان قبلكم بالغلو في الدين
hadith|2910|إياكم والنعي، فإن النعي من عمل الجاهلية
hadith|2911|إياكم والتعري، فإن معكم من لا يفارقكم إلا عند الغائط، وحين يفضي الرجل إلى أهله، فاستحيوهم وأكرموهم
hadith|2912|إياكم وسوء ذات البين، فإنها الحالقة
hadith|2913|إياكم والهوى، فإن الهوى يصم ويعمي
hadith|2914|إياكم وكثرة الحديث عني: فمن قال علي فليقل حقا أو صدقا، ومن تقول علي ما لم أقل فليتبوأ مقعده من النار
hadith|2915|إياكم ودعوة المظلوم وإن كانت من كافر، فإنه ليس لها حجاب دون الله عز وجل
hadith|2916|إياكم ومحقرات الذنوب، فإنما مثل محقرات الذنوب كمثل قوم نزلوا بطن واد فجاء ذا بعود وجاء ذا بعود حتى حملوا ما أنضجوا به خبزهم، وإن محقرات الذنوب متى يؤخذ بها صاحبها تهلكه
hadith|2917|إياكم ومحقرات الذنوب، فإنهن يجتمعن على الرجل حتى يهلكنه، كرجل كان بأرض فلاة فحضر صنيع القوم، فجعل الرجل يجئ بالعود والرجل يجئ بالعود، حتى جمعوا من ذلك سوادا وأججوا نارا، فأنضجوا ما فيها
hadith|2918|إياكم ومحادثة النساء، فإنه لا يخلو رجل بامرأة ليس لها محرم إلا هم بها
hadith|2919|إياكم والغيبة، فإن الغيبة أشد من الزنا، إن الرجل قد يزني ويتوب فيتوب الله عليه، وإن صاحب الغيبة لا يغفر له حتى يغفر له صاحبه
hadith|2920|إياكم والتمادح، فإنه الذبح
hadith|2921|إياكم ونعيق الشيطان، فإنه مهما يكن من العين والقلب فمن الرحمة، وما يكون من اللسان واليد فمن الشيطان
hadith|2922|إياكم والجلوس في الشمس، فإنها تبلى الثوب، وتنتن الريح، وتظهر الداء الدفين
hadith|2923|إياكم والخذف، فإنها تكسر السن، وتفقأ العين، ولا تنكي العدو
hadith|2924|إياكم والزنا، فإن فيه أربع خصال: يذهب البهاء عن الوجه، ويقطع الرزق، ويسخط الرحمن، والخلود في النار
hadith|2925|إياكم والدين، فإنه هم بالليل، ومذلة بالنهار
hadith|2926|إياكم والكبر، فإن إبليس حمله الكبر على ألا يسجد لآدم، وإياكم والحرص، فإن آدم حمله الحرص على أن أكل من الشجرة، وإياكم والحسد، فإن ابني آدم إنما قتل أحدهما صاحبه حسدا، فهو أصل كل خطيئة
hadith|2927|إياكم والطمع، فإنه هو الفقر الحاضر، وإياكم وما يعتذر منه
hadith|2928|إياكم والكبر، فإن الكبر يكون في الرجل وإن عليه العباءة
hadith|2929|إياكم وهاتين البقلتين المنتنتين أن تأكلوهما وتدخلوا مساجدنا، فإن كنتم لا بد آكليهما فاقتلوهما بالنار قتلا
hadith|2930|إياكم والعضه: النميمة، القالة بين الناس
hadith|2931|إياكم والكذب، فإن الكذب مجانب للإيمان
hadith|2932|إياكم والالتفات في الصلاة، فإنها هلكة
hadith|2933|إياكم والتعمق في الدين، فإن الله تعالى قد جعله سهلا، فخذوا منه ما تطيقون، فإن الله يحب ما دام من عمل صالح، وإن كان يسيرا
hadith|2934|إياي والفرج، يعني في الصلاة
hadith|2935|إياي أن تتخذوا ظهور دوابكم منابر، فإن الله تعالى إنما سخرها لكم لتبلغكم إلى بلد لم تكونوا بالغيه إلا بشق الأنفس، وجعل لكم الأرض، فعليها فاقضوا حاجاتكم
hadith|2936|أيام التشريق أيام أكل، وشرب، وذكر الله
hadith|2937|أيكم خلف الخارج في أهله وما له بخير، كان له مثل نصف أجر الخارج -
hadith|2938|أيما إمام سها فصلى بالقوم وهو جنب فقد مضت صلاتهم، ثم ليغتسل هو، ثم ليعد صلاته، وإن صلى بغير وضوء فمثل ذلك
hadith|2939|أيما امرئ قال لأخيه " كافر " فقد باء بها أحدهما: إن كان كما قال، وإلا رجعت إليه
hadith|2940|أيما امرأة وضعت ثيابها في غير بيت زوجها فقد هتكت ستر ما بينها وبين الله عز وجل
hadith|2941|أيما امرأة أصابت بخورا فلا تشهد معنا العشاء الآخرة
hadith|2942|أيما امرأة أدخلت على قوم من ليس منهم فليست من الله في شئ، ولن يدخلها الله جنته، وأيما رجل جحد ولده وهو ينظر إليه احتجب الله تعالى منه، وفضحه على رؤوس الأولين والآخرين يوم القيامة
hadith|2943|أيما امرأة خرجت من بيتها بغير إذن زوجها كانت في سخط الله تعالى حتى ترجع إلى بيتها، أو يرضى عنها زوجها
hadith|2944|إيما امرأة سألت زوجها الطلاق من غير ما بأس، فحرام عليها رائحة الجنة
hadith|2945|أيما امرأة ماتت وزوجها عنها راض دخلت الجنة
hadith|2946|أيما امرأة صامت بغير إذن زوجها، فأرادها على شئ فامتنعت عليه، كتب الله عليها ثلاثا من الكبائر
hadith|2947|أيما إهاب دبغ، فقد طهر
hadith|2948|أيما رجل أم قوما وهم له كارهون لم تجز صلاته أذنيه
hadith|2949|أيما رجل استعمل رجلا على عشرة أنفس، علم أن في العشرة أفضل ممن استعمل، فقد غش الله وغش رسوله وغش جماعة المسلمين
hadith|2950|أيما رجل كسب مالا من حلال، فأطعم نفسه وكساها، فمن دونه من خلق الله تعالى، فإنها له زكاة، وأيما رجل مسلم لم تكن له صدقة، فليقل في دعائه " اللهم صل على محمد عبدك ورسولك وصل على المؤمنين والمؤمنات والمسلمين والمسلمات "، فإنها له زكاة
hadith|2951|أيما رجل تدين دينا وهو مجمع أن لا يوفيه إياه، لقي الله سارقا
hadith|2952|أيما رجل تزوج امرأة فنوى أن لا يعطيها من صداقها شيئا، مات يوم يموت وهو زان، وأيما رجل اشترى من رجل بيعا فنوى أن لا يعطيه من ثمنه شيئا، مات يوم يموت وهو خائن، والخائن في النار
hadith|2953|أيما رجل عاد مريضا فإنما يخوض في الرحمة، فإذا قعد عند المريض غمرته الرحمة
hadith|2954|أيما شاب تزوج في حداثة سنه، عج شيطانه: " يا ويله! عصم مني دينه "
hadith|2955|أيما عبد جاءته موعظة من الله في دينه، فإنها نعمة من الله سيقت إليه، فإن قبلها بشكر، وإلا كانت حجة من الله عليه، ليزداد بها إثما، ويزداد الله عليه بها سخطا
hadith|2956|أيما عبد أو امرأة قال أو قالت لوليدتها " يا زانية " ولم تطلع منها على زنا، جلدتها وليدتها يوم القيامة، لأنه لا حد لهن في الدنيا
hadith|2957|أيما عبد أصاب شيئا مما نهى الله عنه، ثم أقيم عليه حده، كفر عنه ذلك الذنب
hadith|2958|أيما عبد مات في إباقه دخل النار، وإن كان قتل في سبيل الله تعالى
hadith|2959|أيما عبد أبق من مواليه فقد كفر حتى يرجع إليهم
hadith|2960|أيما مسلم كسا مسلما ثوبا على عري، كساه الله تعالى من خضر الجنة، وأيما مسلم أطعم مسلما على جوع، أطعمه الله تعالى يوم القيامة من ثمار الجنة، وأيما مسلم سقى مسلما على ظمأ، سقاه الله تعالى يوم القيامة من الرحيق المختوم
hadith|2961|أيما مسلم كسا مسلما ثوبا، كان في حفظ الله تعالى ما بقيت عليه منه رقعة
hadith|2962|أيما امرأة نكحت بغير إذن وليها فنكاحها باطل، فنكاحها باطل، فنكاحها باطل، فإن دخل بها فلها المهر بما استحل من فرجها، فإن اشتجروا فالسلطان ولي من لا ولي له
hadith|2963|أيما امرأة نكحت بغير إذن وليها فنكاحها باطل، فإن كان دخل بها فلها صداقها بما استحل من فرجها، ويفرق بينهما، وإن كان لم يدخل بها فرق بينهما، والسلطان ولي من لا ولي له
hadith|2964|أيما رجل نكح امرأة فدخل بها فلا يحل له نكاح ابنتها، فإن لم يكن دخل بها فلينكح ابنتها، وأيما رجل نكح امرأة فدخل بها أو لم يدخل فلا يحل له نكاح أمها
hadith|2965|أيما رجل آتاه الله تعالى علما فكتمه، ألجمه الله يوم القيامة بلجام من نار
hadith|2966|أيما رجل حالت شفاعته دون حد من حدود الله تعالى لم يزل في سخط الله حتى ينزع، وأيما رجل شد غضبا على مسلم في خصومة لا علم له بها فقد عاند الله حقه، وحرص على سخطه، وعليه لعنة الله المتتابعة إلى يوم القيامة، وأيما رجل أشاع على رجل مسلم بكلمة وهو منها برئ يشينه بها في الدنيا، كان حقا على الله تعالى أن يدليه يوم القيامة في النار، حتى يأتي بإنفاذ ما قال
hadith|2967|أيما رجل ظلم شبرا من الأرض، كلفه الله تعالى أن يحفره حتى يبلغ آخر سبع أرضين، ثم يطوقه يوم القيامة حتى يقضي بين الناس
hadith|2968|أيما ضيف نزل بقوم فأصبح الضيف محروما فله أن يأخذ بقدر قراه، ولا حرج عليه
hadith|2969|أيما نائحة ماتت قبل أن تتوب ألبسها الله سربالا من نار، وأقامها للناس يوم القيامة
hadith|2970|أيما امرأة نزعت ثيابها في غير بيتها خرق الله عز وجل عنها ستره
hadith|2971|أيما امرأة استعطرت ثم خرجت فمرت على قوم ليجدوا ريحها فهي زانية، وكل عين زانية
hadith|2972|أيما رجل أعتق غلاما ولم يسم ماله، فالمال له
hadith|2973|أيما امرئ ولي من أمر المسلمين شيئا، لم يحطهم بما يحوط نفسه، لم يرح رائحة الجنة
hadith|2974|أيما رجل عاهر بحرة أو أمة، فالولد ولد زنا لا يرث ولا يورث
hadith|2975|أيما مسلم شهد له أربعة بخير أدخله الله تعالى الجنة، أو ثلاثة، أو اثنان
hadith|2976|أيما صبي حج ثم بلغ الحنث فعليه أن يحج حجة أخرى، وأيما أعرابي حج ثم هاجر فعليه أن يحج حجة أخرى، وأيما عبد حج ثم أعتق فعليه أن يحج حجة أخرى
hadith|2977|أيما مسلمين التقيا فأخذ أحدهما بيد صاحبه فتصافحا وحمدا الله تعالى جميعا، تفرقا وليس بينهما خطيئة
hadith|2978|أيما امرئ من المسلمين حلف عند منبري هذا على يمين كاذبة، كانت له نكتة سوداء من نفاق في قلبه لا يغيرها شئ إلى يوم القيامة
hadith|2979|أيما عبد كاتب على مائة أوقية فأداها إلا عشرة أواق فهو عبد، وأيما عبد كاتب على مائة دينار فأداها إلا عشرة دنانير فهو عبد
hadith|2980|أيما رجل مسلم أعتق رجلا مسلما، فإن الله تعالى جاعل وقاء كل عظم من عظامه عظما من عظام محرره من النار، وأيما امرأة أعتقت امرأة مسلمة، فإن الله تعالى جاعل وقاء كل عظم من عظامها عظما من عظام محررها من النار يوم القيامة
hadith|2981|أيما أمة ولدت من سيدها فإنها حرة إذا مات، إلا أن يعتقها قبل موته
hadith|2982|أيما قوم جلسوا فأطالوا الجلوس ثم تفرقوا قبل أن يذكروا الله تعالى أو يصلوا على نبيه، كانت عليهم ترة من الله، إن شاء عذبهم وإن شاء غفر لهم
hadith|2983|أيما امرأة توفي عنها زوجها فتزوجت بعده فهي لآخر أزواجها
hadith|2984|أيما رجل ضاف قوما فأصبح الضيف محروما، فإن نصره حق على كل مسلم حتى يأخذ بقرى ليلته من زرعه وماله
hadith|2985|أيما رجل كشف سترا فأدخل بصره من قبل أن يؤذن له فقد أتى حدا لا يحل أن يأتيه، ولو أن رجلا فقأ عينه لهدرت، ولو أن رجلا مر على باب لا سترة عليه فرأى عورة أهله فلا خطيئة عليه، إنما الخطيئة على أهل الباب
hadith|2986|أيما وال ولي من أمر المسلمين شيئا وقف به على جسر جهنم فيهتز به الجسر حتى يزول كل عضو
hadith|2987|أيما راع غش رعيته فهو في النار
hadith|2988|أيما عبد تزوج بغير إذن مواليه فهو زان
hadith|2989|أيما امرأة مات لها ثلاثة من الولد كن لها حجابا من النار
hadith|2990|أيما رجل مس فرجه فليتوضأ، وأيما امرأة مست فرجها فلتتوضأ
hadith|2991|أيما امرئ مسلم أعتق امرأ مسلما فهو فكاكه من النار، يجزي بكل عظم منه عظما منه، وأيما امرأة مسلمة أعتقت امرأة مسلمة فهي فكاكها من النار، يجزي بكل عظم منها عظما منها، وأيما امرئ مسلم أعتق امرأتين مسلمتين فهما فكاكه من النار، يجزي بكل عظمتين منهما عظما منه
hadith|2992|أيما امرأة زوجها وليان فهي للأول منهما، وأيما رجل باع بيعا من رجلين فهو للأول منهما
hadith|2993|أيما امرأة نكحت على صداق أو حباء أو عدة قبل عصمة النكاح، فهو لها، وما كان بعد عصمة النكاح، فهو لمن أعطيه، وأحق ما أكرم عليه [أي لأجله] - الرجل ابنته أو أخته
hadith|2994|أيما امرأة زوجت نفسها من غير ولي فهي زانية
hadith|2995|أيما امرأة تطيبت ثم خرجت إلى المسجد لم تقبل لها صلاة حتى تغتسل
hadith|2996|أيما امرأة زادت في رأسها شعرا ليس منه فإنه زور تزيد فيه
hadith|2997|أيما رجل أعتق أمة ثم تزوجها بمهر جديد فله أجران
hadith|2998|أيما رجل قام إلى وضوئه يريد الصلاة ثم غسل كفيه نزلت خطيئته من كفيه مع أول قطرة، فإذا غسل وجهه نزلت خطيئته من سمعه وبصره مع أول قطرة، فإذا غسل يديه إلى المرفقين ورجليه إلى الكعبين سلم من كل ذنب هو له، ومن كل خطيئة كهيئته يوم ولدته أمه، فإذا قام إلى الصلاة رفعه الله عز وجل بها درجة، وإن قعد قعد سالما
hadith|2999|أيما مسلم رمى بسهم في سبيل الله فبلغ [السهم إلى العدو] -، مخطئا أو مصيبا، فله من الأجر كرقبة أعتقها من ولد إسماعيل، وأيما رجل شاب في سبيل الله فهو له نور [أي الشيب] -، وأيما رجل أعتق رجلا مسلما فكل عضو من المعتق بعضو من المعتق فداء له من النار، وأيما رجل قام وهو يريد الصلاة فأفضى الوضوء إلى أماكنه سلم من كل ذنب وخطيئة هي له: فإن قام إلى الصلاة رفعه الله تعالى بها درجة، وإن رقد رقد سالما
hadith|3000|أيما وال ولي أمر أمتي بعدي أقيم على الصراط ونشرت الملائكة صحيفته: فإن كان عادلا نجاه الله بعدله، وإن كان جائرا انتفض به الصراط انتفاضة تزايل بين مفاصله حتى يكون بين عضوين من أعضائه مسيرة مائة عام، ثم ينخرق به الصراط، فأول ما يتقي به النار أنفه وحر وجهه
hadith|3001|أيما مسلم استرسل إلى مسلم فغبنه، كان غبنه ذلك ربا
hadith|3002|أيما امرأة قعدت على بيت أولادها فهي معي في الجنة
hadith|3003|أيما راع لم يرحم رعيته حرم الله عليه الجنة
hadith|3004|أيما ناشئ نشأ في طلب العلم والعبادة حتى يكبر أعطاه الله تعالى يوم القيامة ثواب اثنين وسبعين صديقا
hadith|3005|أيما قوم نودي فيهم بالأذان صباحا كان لهم أمانا من عذاب الله تعالى حتى يمسوا، وأيما قوم نودي فيهم بالأذان مساء كان لهم أمانا من عذاب الله تعالى حتى يصبحوا
hadith|3006|أيما مال أديت زكاته فليس بكنز
hadith|3007|أيما راع استرعي رعية فلم يحطها بالأمانة والنصيحة، ضاقت عليه رحمة الله تعالى التي وسعت كل شئ
hadith|3008|أيما وال ولي شيئا من أمر أمتي فلم ينصح لهم ويجتهد لهم كنصيحته وجهده لنفسه، كبه الله تعالى على وجهه يوم القيامة في النار
hadith|3009|أيما وال ولى فلان ورفق رفق الله تعالى به يوم القيامة
hadith|3010|أيما داع دعا إلى ضلالة فاتبع فإن عليه مثل أوزار من اتبعه، ولا ينقص من أوزارهم شيئا، وأيما داع دعا إلى هدى فاتبع فإن له مثل أجور من اتبعه، ولا ينقص من أجورهم شيئا
hadith|3011|أين الراضون بالمقدور؟ أين الساعون للمشكور؟ عجبت لمن يؤمن بدار الخلود كيف يسعى لدار الغرور!؟
hadith|3012|أيها الناس، اتقوا الله وأجملوا في الطلب، فإن نفسا لن تموت حتى تستوفي رزقها، وإن أبطأ عنها، فاتقوا الله وأجملوا في الطلب: خذوا ما حل، ودعوا ما حرم
hadith|3013|أيها الناس عليكم بالقصد، عليكم بالقصد، فإن الله تعالى لا يمل حتى تملوا
hadith|3014|أيها الناس، اتقوا الله، فوالله لا يظلم مؤمن مؤمنا إلا انتقم الله تعالى منه يوم القيامة
hadith|3015|أيها الناس، لا تعلقوا علي بواحدة: ما أحللت إلا ما أحل الله تعالى، وما حرمت إلا ما حرم الله تعالى
hadith|3016|أيها المصلي وحده، ألا وصلت إلى الصف فدخلت معهم، أو جررت إليك رجلا إن ضاق بك المكان فقام معك؟ أعد صلاتك فإنه لا صلاة لك
hadith|3017|أيتها الأمة إني لا أخاف عليكم فيما لا تعلمون، ولكن انظروا كيف تعملون فيما تعلمون
hadith|3018|أي عبد زار أخا له في الله نودي أن طبت وطابت لك الجنة، ويقول الله عز وجل: عبدي زارني، علي قراه، ولن أرضى لعبدي بقرى دون الجنة
hadith|3019|أي أخي، إني موصيك بوصية فاحفظها لعل الله أن ينفعك بها: زر القبور تذكر بها الآخرة بالنهار أحيانا، ولا تكثر، واغسل الموتى فإن معالجة جسد خاو عظة بليغة، وصل على الجنائز لعل ذلك يحزن قلبك، فإن الحزين في ظل الله تعالى معرض لكل خير، وجالس المساكين، وسلم عليهم إذا لقيتهم، وكل مع صاحب البلاء تواضعا لله تعالى وإيمانا به، والبس الخشن الضيق من الثياب، لعل العز والكبرياء لا يكون لهما فيك مساغ، وتزين أحيانا لعبادة ربك فإن المؤمن كذلك يفعل تعففا وتكرما وتجملا، ولا تعذب شيئا مما خلق الله بالنار
hadith|3020|أي إخواني، لمثل هذا اليوم فأعدوا
hadith|3021|أيحسب أحدكم متكئا على أريكته أن الله تعالى لم يحرم شيئا إلا ما في هذا القرآن؟ ألا وإني - والله - قد أمرت، ووعظت، ونهيت عن أشياء، إنها كمثل القرآن أو أكثر. وإن الله تعالى لم يحل لكم أن تدخلوا بيوت أهل الكتاب إلا بإذن، ولا ضرب نسائهم، ولا أكل ثمارهم، إذا أعطوكم الذي عليهم
hadith|3022|أيمن امرئ وأشأمه: ما بين لحييه فصل في المحلى بأل من حرف الألف
hadith|3023|الآخذ بالشبهات يستحل الخمر بالنبيذ، والسحت بالهدية، والبخس بالزكاة
hadith|3024|الآخذ والمعطي سواء في الربا
hadith|3025|الآمر بالمعروف كفاعله
hadith|3026|الآن حمي الوطيس
hadith|3027|الآن نغزوهم ولا يغزونا
hadith|3028|الآن بردت عليه جلده
hadith|3029|الآيات بعد المائتين
hadith|3030|الآيات خرزات منظومات في سلك فانقطع السلك فيتبع بعضها بعضا
hadith|3031|الآيتان من آخر سورة البقرة من قرأهما في ليلة كفتاه
hadith|3032|الأبدال في هذه الأمة ثلاثون رجلا قلوبهم على قلب إبراهيم خليل الرحمن، كلما مات رجل أبدل الله مكانه رجلا
hadith|3033|الأبدال في أمتي ثلاثون: بهم تقوم الأرض، وبهم تمطرون، وبهم تنصرون
hadith|3034|الأبدال في أهل الشام، وبهم ينصرون، وبهم يرزقون
hadith|3035|الأبدال بالشام، وهم أربعون رجلا، كلما مات رجل أبدل الله مكانه رجلا: يسقى بهم الغيث، وينتصر بهم على الأعداء، ويصرف عن أهل الشام بهم العذاب
hadith|3036|الأبدال أربعون رجلا، وأربعون امرأة، كلما مات رجل أبدل الله تعالى مكانه رجلا، وكلما ماتت امرأة أبدل الله تعالى مكانها امرأة
hadith|3037|الأبدال من الموالي
hadith|3038|الأبعد فالأبعد من المسجد أعظم أجرا
